Date,ENB.TO,BLDP.TO,FM.TO,ABX.TO,CNR.TO,AC.TO,MG.TO,DOO.TO,ATD.B.TO,SAP.TO,APHA.TO,AUP.TO,RY.TO,MFC.TO,SHOP.TO,CSU.TO,T.TO,BCE.TO,H.TO,NPI.TO
12/31/2020,0.003698225,0.112855008,0.23982637,-0.02717209,0.028970588,-0.078137652,0.1314666,0.134970981,0.005796429,-0.01110186,-0.19340055,-0.114026236,-0.013860079,0.023497515,0.02829507,0.032968475,0.006387226,-0.03321,-0.054455446,0.026061559
11/30/2020,0.104876056,0.361832061,0.203788374,-0.163110612,0.027578391,0.676849966,0.170660003,0.029599778,0.051182062,0.111008326,0.821368948,-0.04940048,0.138471447,0.225359911,0.138036036,0.14992961,0.099648815,0.05155,0.040879423,0.032954282
10/31/2020,-0.056298201,-0.023359841,0.289806234,-0.047593583,-0.066708977,-0.061185468,0.116527162,0.022885572,-0.115160664,-0.029041916,0.013536379,0.063233044,-0.003529789,-0.024838013,-0.09801056,-0.054770392,-0.027742211,-0.03042,0.031537916,0.069761668
9/30/2020,-0.067816918,-0.070669746,-0.080557707,-0.032091097,0.034656355,-0.108522727,-0.040774559,-0.006916996,0.08926474,0.02642901,-0.070754717,0.012913223,-0.058793919,-0.037422037,-0.022638043,-0.020106219,-0.024562864,-0.01498,0.045185185,0.102655352
8/31/2020,-0.026592022,0.137677352,0.140459364,-0.001808318,0.047538979,0.164791529,0.026005492,0.180666667,-0.085499463,-0.007321538,-0.004694836,0.024880889,0.075,0.071866295,0.017119537,-0.046946287,0.034007749,-0.00178,-0.053959355,-0.004632153
7/31/2020,0.038517442,-0.089037817,0.046210721,0.059676978,0.089334776,-0.108554572,0.023982799,0.03626943,0.09349307,0.012666049,0.097938144,-0.14292196,0.00314841,-0.028153763,0.062034316,0.033584128,0.02020202,-0.00812,0.117900509,0.080047087
6/30/2020,-0.078159893,0.419157609,0.340768278,0.103292057,0.012731872,0.066037736,0.041336548,0.214345638,-0.012296984,-0.043156961,0.00172117,0.009157509,0.033782267,0.080116959,0.234265099,-0.020599358,-0.045683152,-0.01066,-0.043103448,0.067211055
5/31/2020,0.049941383,0.040282686,-0.050588235,-0.075914039,0.030318825,-0.214426877,0.070427729,0.14450312,0.109680742,-0.033428571,0.17611336,-0.095652174,0.040523181,-0.024529378,0.18372641,0.169290481,0.048791209,0.01670,0.057052298,0.065952461
4/30/2020,0.039483305,0.326148079,0.182197497,0.38553751,0.046169227,0.285079365,0.207748831,0.81445993,0.171644042,0.03427896,0.151515152,0.182085169,-0.017666628,-0.007923033,0.497201587,0.046528039,0.02247191,-0.02494,-0.00394633,0.063367747
3/31/2020,-0.178742994,-0.115257048,-0.275201613,0.01015625,-0.033043325,-0.540145985,-0.264855132,-0.582773033,-0.18670265,-0.094218415,-0.117283951,-0.163047931,-0.126728111,-0.216755319,-0.053913546,-0.064654216,-0.081337737,-0.02070,-0.05939124,-0.058646113
2/29/2020,-0.071548039,-0.074443592,-0.042471042,0.044471644,-0.07989003,-0.227385518,-0.089432106,-0.185464772,-0.078453538,-0.081160846,-0.214862682,0.004526749,-0.045515395,-0.124903026,0.011179076,-0.016980111,-0.086899152,-0.05468,0.001486989,0.001678416
1/31/2020,0.042223513,0.404094828,-0.213363705,0.016169154,0.052779433,-0.0861678,-0.057724719,0.14198783,0.073283184,0.011442786,-0.087020649,-0.07569418,0.017810219,-0.022003035,0.193743947,0.102992837,0.055091488,0.03657,0.072567783,0.095220588
12/31/2019,0.026441352,0.046223224,0.083950617,0.087466186,-0.026034326,-0.030769231,-0.027056573,-0.090126115,-0.051771744,0.00124533,0.077901431,1.463917526,-0.05499862,0.008802143,0.159052643,-0.111865774,0.002592223,-0.05912,0.002398082,-0.011627907
